Citymapper Mobility Index - Last updated on 2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journalists and public-interest researchers may use this information as long as they attribute it to Citymapper and link to citymapper.com/cmi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All others who wish to use this information, please contact us from our website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Amsterdam,Barcelona,Birmingham,Boston,Brussels,Chicago,Copenhagen,Hong Kong,Istanbul,Lisbon,London,Los Angeles,Lyon,Madrid,Manchester,Melbourne,Mexico City,Milan,Montréal,Moscow,New York City,Paris,Philadelphia,Rome,San Francisco,Seattle,Seoul,Singapore,St. Petersburg,Stockholm,Sydney,São Paulo,Toronto,Vancouver,Vienna,Washington DC
2020-01-20,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,0.97,1.03,,,,,,,,
2020-02-04,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,0.94,1.04,,,,,,,,
2020-02-05,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,0.88,1.01,,,,,,,,
2020-02-06,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,0.92,0.98,,,,,,,,
2020-02-07,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,0.95,0.95,,,,,,,,
2020-02-08,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,0.92,0.9,,,,,,,,
2020-02-09,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,0.96,0.84,,,,,,,,
2020-02-10,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,0.91,0.88,,,,,,,,
2020-02-11,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,0.93,0.86,,,,,,,,
2020-02-12,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,0.81,0.89,,,,,,,,
2020-02-13,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,0.93,0.86,,,,,,,,
2020-02-14,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,0.99,0.89,,,,,,,,
2020-02-15,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,0.95,0.87,,,,,,,,
2020-02-16,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,0.81,0.85,,,,,,,,
2020-02-17,,,,,,,,0.48,,,,,,,,,,1.23,,,,,,,,,0.83,0.87,,,,,,,,
2020-02-18,,,,,,,,0.49,,,,,,,,,,1.24,,,,,,,,,0.81,0.88,,,,,,,,
